Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,YEAR,IS_BANKRUPT
10340,-5.3,-21.25,-1.95,0.04,1.21,1.23,133.66,110.95,59.36,2.16,0.75,3.0,4.01,86.86,75.07,-0.03,2.4,26.92,33.84,93.91,0.47,2.64,0.17,0.04,1.14,1.16,131.43,114.49,61.34,1.99,81.96,459.3,5.6,66.85,81.96,2.86,2.81,33.03,16.61,73.34,0.39,2.77,,0.06,1.11,1.13,123.6,96.85,56.11,2.78,86.01,618.38,7.19,64.6,86.01,2.56,2.46,35.29,15.09,65.95,16,0
10341,1.12,1.13,5.68,,,,833.87,,,,,,1.0,1.12,0.0,,,0.0,0.0,0.0,0.87,1.04,0.99,5.65,6.38,6.38,412.31,46.43,63.93,,0.16,0.19,1.19,65.26,15.68,5.58,,0.0,72.93,94.48,-472.02,16689.29,,0.3,0.99,0.99,,,,,1.03,-36.36,-35.36,-74.14,102.83,-459.04,,0.0,,,16,0
10342,7.42,19.71,2.9,0.67,1.44,1.55,142.04,61.89,76.45,8.83,0.62,1.66,2.66,39.02,62.35,19.85,4.28,5.43,12.33,65.17,2.84,7.12,1.21,0.86,1.57,1.67,154.78,62.08,83.94,8.15,0.59,1.49,2.5,31.39,59.44,12.66,8.83,2.25,8.41,51.16,1.85,4.4,1.12,0.86,1.45,1.74,219.59,69.6,102.96,34.36,0.58,1.38,2.38,32.55,57.97,8.0,8.37,8.24,12.99,54.68,16,0
10343,0.01,0.11,0.02,0.01,0.9,0.91,507.38,319.13,384.09,5.79,0.86,6.28,7.28,3.06,86.26,2.35,0.62,6.62,4.24,40.73,-0.38,-0.73,-0.46,0.04,1.48,1.51,437.43,249.13,178.34,6.61,47.31,89.8,1.9,4.17,47.31,7.51,1.77,4.82,3.63,29.12,-0.39,-0.6,-0.54,0.11,2.12,2.14,500.16,321.14,114.7,3.57,34.39,52.41,1.52,4.13,34.39,8.91,2.23,9.38,4.14,21.56,16,0
10344,2.54,2.94,1.38,7.35,7.35,7.35,198.33,,26.7,,0.14,0.16,1.16,2.54,13.61,18.64,,0.0,0.0,0.0,11.92,12.87,19.35,13.53,13.53,13.53,590.9,,43.19,,0.07,0.08,1.08,11.92,7.39,161.25,,0.0,0.0,0.0,-9.31,-10.12,,12.38,12.38,12.38,,,,,0.08,0.09,1.09,-9.31,8.08,-115.21,,0.0,,,16,0
10345,31.72,64.19,2.89,2.01,2.01,2.01,33.2,,16.32,,0.51,1.02,2.02,45.63,50.59,62.69,,0.0,1.27,24.88,26.59,64.17,,1.0,1.74,1.74,124.63,38.45,30.36,,0.59,1.41,2.41,35.68,58.56,54.42,2.17,22.98,2.33,12.97,6.77,15.25,,1.98,2.13,2.13,301.2,17.97,80.75,,0.56,1.25,2.25,17.51,55.61,25.09,3.6,25.06,6.65,23.62,16,0
10346,38.47,44.24,51.85,7.66,7.66,7.66,490.7,,63.33,,0.13,0.15,1.15,55.9,13.05,294.77,,0.0,23.51,25.53,47.21,55.62,41.63,6.61,6.61,6.61,321.02,,48.03,,15.13,17.83,1.18,68.74,15.13,312.05,,0.0,18.99,26.0,41.89,47.5,46.28,8.46,8.46,8.46,402.17,,46.99,,11.81,13.4,1.13,65.67,11.81,354.55,,0.0,26.27,30.29,16,0
10347,11.42,61.77,7.56,0.02,0.92,1.26,240.9,72.58,130.29,64.99,0.82,4.41,5.41,50.9,81.52,14.01,,24.16,26.13,107.07,2.0,26.8,1.5,0.17,0.88,1.1,272.71,97.21,244.86,53.51,0.93,12.41,13.41,32.74,92.54,2.16,,0.0,16.74,71.33,1.49,14.86,0.91,0.01,0.9,1.15,221.73,109.97,177.2,47.21,0.9,8.98,9.98,39.17,89.98,1.65,,6.1,16.69,69.94,16,0
10348,1.61,2.99,0.59,0.37,2.16,2.16,117.43,109.71,61.03,,0.46,0.86,1.86,11.4,46.19,3.48,,0.0,3.59,57.58,19.76,22.74,9.22,2.25,7.67,7.67,169.87,118.77,21.9,,0.13,0.15,1.15,44.37,13.13,150.5,,0.0,11.49,43.93,,,,,,,,,,,,,,,,,,,,,16,0
10349,-23.99,-103.83,-39.11,0.07,0.25,0.26,593.37,66.14,357.0,4.12,0.77,3.33,4.33,-13.71,76.89,-7.09,0.47,0.0,16.76,391.43,-20.87,-93.32,,0.2,0.26,0.26,838.36,35.2,625.63,,0.78,3.47,4.47,-12.57,77.63,11.52,0.31,0.0,13.86,56.07,13.09,24.18,10.23,1.84,2.11,2.11,284.53,31.88,117.84,,0.46,0.85,1.85,35.02,45.88,99.97,5.53,0.0,13.13,77.29,16,0
10350,4.03,8.72,2.5,0.12,1.66,1.94,225.74,164.2,106.77,30.29,0.54,1.16,2.16,22.89,53.78,12.78,6.72,0.01,11.7,68.76,2.38,3.8,1.34,0.65,2.72,3.0,204.84,127.12,61.4,16.79,0.37,0.6,1.6,28.45,37.36,14.56,7.13,0.0,10.5,52.14,2.49,4.77,1.69,0.28,1.76,2.11,247.24,154.58,98.48,36.25,0.48,0.91,1.91,21.97,47.77,11.95,5.27,2.2,9.46,52.0,16,0
10351,1.75,8.75,1.07,1.28,1.37,1.37,223.12,14.97,160.87,,0.8,4.01,5.01,1.75,80.03,2.18,,0.0,0.0,0.0,30.01,43.2,,6.08,6.08,6.08,,,,,0.31,0.44,1.44,30.01,30.53,98.31,,0.0,,0.0,-8.22,-8.6,,3.68,3.69,3.69,,,,,0.04,0.05,1.05,-8.22,4.49,-182.87,1.15,0.0,,0.0,16,0
10352,-1.02,-3.81,-2.6,0.01,1.36,1.36,926.9,907.16,670.39,,0.73,2.74,3.74,2.52,73.26,-1.26,68.39,0.01,9.0,97.04,-0.49,-2.88,,0.05,1.2,1.2,439.55,414.94,360.25,,82.96,486.88,5.87,4.48,82.96,-0.52,92.49,0.0,3.09,-23.3,1.52,10.76,,0.01,1.21,1.21,350.51,342.06,284.23,,85.86,607.17,7.07,5.6,85.86,1.91,27.79,0.0,1.91,30.16,16,0
