Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,YEAR,IS_BANKRUPT
3210,0.49,1.3,1.53,0.0,1.01,1.33,1142.22,381.5,328.77,124.65,0.49,1.3,2.65,5.45,62.31,17.21,0.96,16.8,15.51,68.66,0.42,1.07,1.29,0.0,1.01,1.34,1121.42,348.0,297.08,114.45,0.47,1.2,2.56,5.1,60.91,18.2,0.94,18.46,14.42,88.25,0.24,0.67,0.83,0.0,0.95,1.17,1232.0,435.4,367.05,101.96,51.99,142.24,2.74,4.85,51.99,14.97,0.9,20.43,11.19,68.16,15,0
3211,5.27,10.6,12.98,0.62,1.34,2.43,898.33,81.73,54.62,125.74,0.23,0.46,2.01,25.47,50.25,68.69,0.86,15.26,49.7,107.42,0.9,1.66,2.5,0.11,0.78,2.11,1006.09,102.04,78.53,203.07,0.19,0.35,1.83,23.88,45.45,53.89,0.85,9.27,63.5,88.29,0.05,0.17,0.24,0.04,0.88,1.27,1661.27,434.22,214.59,199.95,0.44,1.47,3.35,12.58,43.82,10.61,0.7,29.57,40.64,83.7,15,0
3212,0.88,2.2,1.39,0.29,0.38,1.41,577.3,30.08,314.41,326.95,0.6,1.5,2.51,1.12,60.11,16.45,2.03,0.0,0.39,2.04,0.86,2.22,1.66,0.14,0.17,1.4,698.82,10.43,405.44,505.12,0.61,1.57,2.57,3.23,61.12,14.31,2.33,0.0,4.55,18.07,1.15,2.85,2.04,0.03,0.04,1.37,645.3,2.48,377.41,501.88,0.6,1.48,2.48,8.66,59.76,14.46,2.12,0.0,9.51,30.47,15,0
3213,0.79,10.26,3.84,2.16,5.49,5.49,1780.34,377.17,113.45,,0.92,12.04,13.04,0.79,92.33,6.27,1.48,0.0,0.0,0.0,0.0,0.03,0.01,0.17,35.12,35.12,1573.54,510.53,14.61,,0.91,10.45,11.45,0.0,91.27,7.14,1.51,0.0,0.0,0.0,1.27,12.78,5.85,0.23,13.16,13.16,1676.98,654.76,50.77,,0.9,9.07,10.07,1.27,90.07,4.72,1.62,0.0,0.0,0.0,15,0
3214,2.39,7.51,1.93,0.6,1.17,1.17,295.33,113.33,198.57,,0.68,2.15,3.15,16.21,68.22,17.75,1.58,0.0,11.19,56.66,2.0,7.57,1.71,0.64,1.19,1.19,311.57,123.56,226.73,,0.74,2.79,3.79,17.4,73.64,9.91,2.14,0.0,13.19,59.81,1.46,7.51,1.4,0.38,0.89,0.89,351.16,143.72,279.23,,0.81,4.16,5.16,13.5,80.63,6.71,0.69,0.0,8.58,74.88,15,0
3215,2.25,3.02,33.04,0.13,0.98,2.2,5366.31,1089.42,1294.27,1605.73,0.26,0.34,1.34,30.81,25.65,48.33,1.61,0.0,419.91,-73.27,-19.47,-64.87,-436.94,0.05,0.16,0.72,8166.81,595.84,5580.0,3176.01,0.7,2.33,3.33,2.61,69.98,-14.68,0.6,0.0,495.44,-48.85,-3.72,-28.08,-26.56,0.01,0.04,0.38,2599.74,60.04,2048.05,702.37,0.87,6.55,7.55,6.86,86.75,9.85,0.29,0.0,53.63,-55.7,15,0
3216,13.81,51.14,25.41,0.61,0.75,0.84,671.85,68.25,483.78,44.17,0.73,2.7,3.7,13.81,73.01,26.41,0.7,0.0,0.0,0.0,-46.09,-4089.12,-88.28,2.56,2.89,2.89,697.21,77.24,238.92,,0.35,30.74,88.72,-46.09,98.87,-133.02,,0.0,0.0,0.0,2.68,14.83,82.57,0.12,0.48,1.22,11209.64,3346.97,9082.03,6685.71,0.82,4.53,5.53,2.68,81.92,3.27,,0.0,0.0,0.0,15,0
3217,1.95,2.71,3.35,0.06,0.29,2.25,628.57,21.82,39.64,183.87,0.28,0.39,1.39,15.18,28.15,30.79,1.28,14.5,22.78,127.98,6.05,8.86,9.18,0.01,1.14,2.05,552.73,134.29,24.25,108.34,0.32,0.47,1.47,17.72,31.77,34.49,1.4,21.72,17.72,90.24,4.3,7.53,8.09,0.12,0.62,1.51,685.15,70.69,10.34,126.66,0.43,0.75,1.75,15.01,42.86,20.37,1.15,37.18,14.48,39.74,15,0
3218,-5.27,-1176.47,-13.68,0.51,0.54,0.54,947.5,25.69,805.57,0.0,1.0,222.31,223.31,0.81,99.55,-0.45,0.26,10.03,15.78,70.44,4.33,92.08,10.78,0.49,0.67,0.67,906.62,140.13,805.94,,0.95,20.27,21.27,9.52,95.3,10.41,0.25,4.12,12.92,27.91,0.73,3.2,2.45,0.71,0.85,0.85,1219.13,128.59,918.27,,0.77,3.36,4.36,9.81,77.07,1.34,0.67,0.0,30.39,85.6,15,0
3219,-0.32,-1.87,-4.56,0.67,0.9,1.09,5266.91,1021.59,4307.35,817.32,0.83,4.92,5.92,5.7,83.12,3.21,1.78,0.0,86.77,-15.02,-1.54,-8.99,-63.07,0.05,0.39,0.56,14948.58,4200.54,12237.3,2128.93,0.83,4.85,5.85,10.4,82.92,7.36,0.32,0.0,490.06,-29.71,0.31,0.6,6.14,0.04,0.97,1.31,7252.04,3240.13,1654.76,1191.97,0.49,0.96,1.96,8.45,48.88,0.63,1.41,25.42,162.29,-44.62,15,0
3220,0.23,0.68,0.3,0.08,0.25,0.95,471.48,45.86,210.24,189.41,0.62,1.84,2.98,14.96,66.45,8.21,0.82,14.72,19.03,94.93,0.03,0.08,0.04,0.02,0.25,0.92,634.73,93.53,320.93,266.73,0.65,2.09,3.21,15.28,68.87,6.79,0.82,12.25,26.61,104.17,0.06,0.22,0.12,0.01,0.28,0.91,700.06,125.14,323.04,300.12,70.34,262.4,3.73,14.55,70.34,5.76,0.77,22.02,20.61,87.28,15,0
3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0
3222,2.38,24.02,3.27,0.27,1.18,1.49,501.64,235.54,104.76,81.9,0.9,9.04,10.08,19.01,90.08,15.63,2.13,65.65,22.85,110.18,-3.1,-102.16,-5.78,0.1,0.64,0.96,678.1,293.93,323.01,177.4,0.97,31.85,32.9,10.27,96.96,3.09,0.81,47.62,24.91,1107.26,2.41,33.68,2.25,0.05,0.4,0.84,340.18,107.58,116.24,133.96,0.93,12.97,13.99,24.63,92.7,14.58,0.31,56.68,14.84,302.97,15,0
3223,3.07,3.23,78.44,1.74,20.59,20.59,9317.34,8413.65,446.23,,0.05,0.05,1.05,3.07,4.86,63.29,,0.0,0.0,0.0,5.98,6.16,69.27,5.17,33.28,33.28,4218.86,3524.87,125.38,,0.03,0.03,1.03,5.98,3.0,198.9,,0.0,0.0,0.0,-2.99,-3.4,-38.23,1.71,8.19,8.19,4655.93,3641.43,561.9,,0.12,0.14,1.14,-2.99,12.2,-24.49,,0.0,0.0,0.0,15,0
3224,-1.4,-250.19,-219.69,0.02,1.14,1.37,57077.48,7440.8,236.01,1731.38,0.54,96.59,178.09,-0.47,99.44,8.14,0.51,12.96,146.93,274.75,-0.28,-76.87,-4.77,0.05,0.86,4.01,6256.15,38.38,191.85,613.58,0.51,142.61,277.08,2.56,99.64,11.81,0.56,0.0,48.74,49.44,-0.06,-18.43,-3.6,0.31,2.29,13.32,22947.12,66.7,253.82,2799.38,0.54,173.18,323.02,1.02,53.61,11.15,0.62,0.0,50.52,19.44,15,0
3225,0.25,1.03,1.79,0.08,0.72,1.2,2622.82,1358.7,2142.1,1051.93,0.76,3.16,4.16,0.25,75.93,1.2,41.42,0.0,0.0,0.0,0.23,1.05,3.01,0.04,0.69,1.18,4841.68,2613.2,4047.2,2018.56,0.78,3.63,4.63,0.23,78.42,0.29,41.86,0.0,0.0,0.0,5.64,14.71,20.36,0.24,1.29,1.62,1313.72,840.18,800.94,263.88,0.62,1.61,2.61,5.64,61.65,10.45,,0.0,0.0,0.0,15,0
3226,5.16,5.94,10.62,10.28,10.28,11.18,512.56,,66.31,59.99,0.13,0.15,1.15,5.16,13.19,39.11,,0.0,0.0,0.0,7.8,20.74,19.29,0.69,5.5,5.5,900.1,348.52,72.5,,0.62,1.66,2.66,7.8,62.39,27.2,1.68,0.0,0.0,0.0,-21.87,-349.46,,0.25,2.12,2.12,330.17,121.58,65.15,,0.94,14.98,15.98,-15.24,93.74,-1.66,1.25,0.0,4.44,34.75,15,0
3227,0.04,0.05,0.23,0.04,1.35,2.48,2217.21,118.22,197.74,226.66,0.14,0.18,1.23,10.47,18.75,58.29,1.11,0.0,63.35,90.38,0.08,0.1,0.52,0.02,1.56,2.74,2318.66,152.5,195.74,235.16,0.14,0.17,1.22,7.12,17.78,51.53,1.14,0.0,44.85,118.87,0.08,0.09,0.53,0.09,1.57,3.12,2545.06,140.18,186.76,290.93,0.08,0.09,1.14,5.73,8.28,83.33,1.15,0.0,27.69,122.09,15,0
3228,-0.06,-0.83,-0.06,0.74,0.74,0.74,387.85,,246.47,,0.93,13.7,14.7,11.54,93.2,1.92,0.68,26.73,12.33,-152.25,-0.02,-0.53,-0.02,0.28,0.28,0.28,403.1,,330.66,,0.96,26.63,27.63,11.24,96.38,16.54,0.22,13.34,12.47,99.23,3.4,43.59,3.55,0.01,0.27,0.27,379.78,,309.5,,92.19,1180.86,12.81,9.84,92.19,20.66,0.23,9.65,6.71,384.87,15,0
3229,1.0,4.57,4.63,0.16,0.44,0.93,1687.59,159.08,155.02,283.61,0.58,2.64,4.57,19.98,78.1,30.31,0.66,24.97,87.77,264.28,2.8,12.07,12.76,0.24,0.47,0.89,1661.32,143.01,246.9,266.04,0.59,2.55,4.32,15.67,76.83,24.59,0.66,23.32,58.76,1058.38,4.97,18.76,19.8,0.3,0.54,0.97,1449.94,120.8,180.93,212.68,0.59,2.21,3.77,18.62,58.55,29.91,0.74,22.34,39.34,262.66,15,0
3230,-9.04,57.15,-332.69,9.26,29.14,29.35,13433.49,785.55,43.84,9.46,0.57,-3.57,-6.32,-6.23,115.82,-8.55,0.45,1.41,103.44,-286.2,17.68,1094.5,180.56,1.63,10.68,10.72,3717.01,538.75,62.25,2.67,0.41,25.28,61.9,20.07,98.38,65.54,0.49,0.24,24.43,27.58,-1.22,-174.19,,1.82,7.87,7.87,7199.52,757.88,125.2,,36.48,5204.87,142.66,1.65,36.48,26.11,0.4,0.0,40.19,59.0,15,0
3231,3.88,5.3,6.38,0.32,1.95,6.5,599.6,62.38,28.52,176.44,0.23,0.32,1.37,28.39,26.79,62.09,1.54,3.81,40.26,108.03,1.23,1.7,2.29,0.27,1.14,4.64,675.25,53.35,48.02,218.28,0.26,0.36,1.38,26.32,27.55,46.92,1.53,3.16,46.54,123.05,1.32,1.84,2.18,0.23,1.32,5.0,600.83,65.13,43.81,219.03,0.26,0.37,1.39,28.49,26.45,47.42,1.74,3.82,32.75,88.29,15,0
3232,-7.65,-12.06,-16.58,0.0,0.17,1.34,791.17,25.09,136.96,176.54,0.26,0.41,1.58,10.45,36.56,7.01,0.93,2.53,39.23,136.05,-7.51,-12.28,-14.94,0.0,0.13,1.1,724.47,21.46,167.89,171.66,0.3,0.48,1.64,12.66,38.86,8.36,0.89,0.98,40.13,166.95,-11.23,-20.21,-20.68,0.02,0.09,0.94,670.36,13.57,198.24,169.21,0.37,0.66,1.8,11.32,36.6,-1.77,0.85,0.01,28.08,125.28,15,0
3233,4.49,4.57,133.92,37.33,38.51,50.9,10877.91,166.27,140.44,1764.33,0.02,0.02,1.02,8.95,1.6,1069.53,2.95,0.0,132.67,-51.77,1.76,2.16,22.86,0.08,1.31,2.01,4741.89,1089.71,143.64,625.99,0.19,0.23,1.23,8.5,18.66,89.23,1.31,15.84,87.91,337.65,-0.51,-0.64,-14.69,0.12,1.73,2.72,10397.29,2861.28,225.11,1766.45,0.19,0.24,1.24,9.35,19.49,69.23,1.57,15.13,205.37,-165.3,15,0
3234,15.62,84.46,141.86,0.01,0.03,0.11,3315.37,42.4,2045.88,158.31,0.82,4.41,5.41,21.85,81.51,19.16,0.41,0.0,56.62,-2900.86,-6.49,-50.56,-55.28,0.08,0.28,0.3,3099.84,64.34,331.92,6.21,0.87,6.79,7.79,1.9,87.16,-7.45,0.92,0.0,71.47,-1450.67,5.71,31.72,25.53,0.13,0.15,0.15,1627.38,2.35,141.39,0.08,0.82,4.56,5.56,10.48,82.0,6.96,0.92,0.0,21.33,57.79,15,0
3235,-0.93,-47.11,-53.29,0.14,0.3,0.34,21021.26,1564.09,2527.01,376.28,0.98,49.92,50.92,-0.93,98.04,-0.93,0.64,33.95,0.0,0.0,-1.26,-128.77,-72.9,0.04,0.98,1.01,21069.95,7461.99,1997.06,250.51,0.69,70.96,102.26,-1.02,99.02,-0.27,0.53,38.94,14.03,147.21,-8.31,-4513.3,,5.81,12.05,12.49,7147.06,352.19,56.43,24.87,66.33,36008.93,542.86,-5.4,66.33,-4.28,0.73,17.11,35.28,967.74,15,0
3236,0.06,0.16,0.19,0.4,0.69,1.19,1154.61,59.71,86.3,103.04,0.44,1.16,2.65,8.76,62.33,25.52,0.81,34.52,27.51,526.07,-0.13,-0.33,-0.48,0.2,0.42,0.9,1392.17,65.42,47.85,151.12,0.35,0.93,2.65,9.55,62.23,38.32,0.64,28.73,37.02,300.03,-8.48,-25.08,-27.19,0.22,0.33,0.81,1166.62,28.95,56.23,138.99,39.85,117.85,2.96,2.12,39.85,15.09,0.61,31.17,24.59,140.68,15,0
3237,0.48,12.86,1.59,0.47,0.77,0.89,1205.82,91.42,299.61,39.41,0.84,22.45,26.65,4.99,96.25,7.86,0.63,45.49,14.91,286.29,0.51,11.54,1.53,0.2,0.57,0.72,1083.21,102.17,273.79,40.0,0.73,16.47,22.42,5.77,95.54,10.79,0.38,26.71,15.63,161.88,-0.19,-3.9,-0.47,0.05,0.28,0.45,918.97,55.64,230.7,39.47,67.36,1401.87,20.81,6.14,67.36,14.37,0.36,25.07,11.55,42.04,15,0
3238,14.94,80.83,28.35,0.69,1.53,1.53,692.52,169.44,176.57,1.26,0.82,4.41,5.41,14.94,81.51,29.87,1.29,3.85,0.0,0.0,0.19,0.59,0.24,,,,456.07,118.36,,,0.68,2.09,3.09,0.19,67.68,28.72,1.51,0.0,0.0,0.0,0.19,0.61,0.24,,,,455.31,117.84,,,68.02,212.74,3.13,0.19,68.02,29.2,1.5,0.0,0.0,0.0,15,0
3239,19.44,25.48,18.52,3.21,5.83,7.41,347.7,5.17,35.85,57.48,0.2,0.27,1.31,37.71,23.71,152.27,3.89,8.62,17.41,48.47,0.42,0.54,0.47,1.12,8.19,12.85,406.42,148.36,20.98,98.94,0.22,0.28,1.28,21.68,21.92,57.82,2.85,15.09,23.73,114.23,0.54,0.84,0.56,0.34,1.5,3.19,380.07,54.33,46.91,78.98,0.36,0.56,1.56,19.94,35.73,19.05,2.01,19.51,14.3,200.6,15,0
3240,2.01,2.7,11.63,0.06,1.73,2.4,2116.38,461.06,132.89,188.56,0.19,0.25,1.35,10.18,25.77,50.97,1.15,6.88,47.37,1682.98,-2.21,-2.74,-8.97,0.24,2.71,4.15,1477.02,221.38,89.52,130.89,0.12,0.15,1.24,6.69,19.23,51.81,1.17,0.0,36.13,270.01,0.16,0.18,0.69,0.36,2.05,3.47,1610.1,175.9,126.02,179.79,0.09,0.1,1.17,9.36,8.63,80.18,1.19,0.0,28.9,-88.38,15,0
3241,-3.49,-6.36,-6.54,-0.46,0.94,2.32,684.88,98.06,69.3,97.27,0.26,0.47,1.82,11.99,45.14,25.44,0.91,8.52,29.04,127.48,0.44,0.92,0.9,0.01,0.54,1.15,737.53,97.09,160.69,113.46,0.37,0.76,2.08,13.47,51.85,26.69,0.83,10.27,26.4,93.94,1.6,2.97,2.99,0.01,0.75,1.9,680.42,72.46,86.62,113.48,0.28,0.52,1.86,18.02,27.92,44.68,0.92,10.82,21.38,88.62,15,0
3242,1.3,5.05,10.29,0.18,0.19,0.42,2880.02,0.73,1053.73,249.3,0.74,2.86,3.87,2.2,74.17,5.37,0.74,0.0,7.1,-211.79,0.76,2.86,3.29,0.08,0.16,0.27,1580.13,44.61,571.84,65.81,0.73,2.76,3.77,1.83,73.45,6.38,0.7,0.0,4.64,98.94,0.71,2.9,4.43,0.14,0.17,0.28,2257.19,24.96,890.33,98.3,0.75,3.06,4.06,1.76,75.34,9.02,0.68,0.0,6.51,146.1,15,0
3243,-0.61,-0.78,,0.91,0.91,0.91,,,,,0.21,0.26,1.26,-0.61,20.81,-2.95,0.79,0.0,,0.0,0.27,0.43,69.44,0.31,0.31,0.71,92504.53,,18492.0,7494.67,0.37,0.58,1.58,0.27,36.55,0.75,0.74,0.0,0.0,0.0,3.22,4.78,,0.03,0.03,0.54,,,,,0.33,0.48,1.48,3.22,32.58,9.9,0.74,0.0,,0.0,15,0
3244,-17.99,-49.08,-89.21,1.58,1.58,1.58,1726.23,,1131.32,,0.63,1.73,2.73,-17.99,63.35,-28.39,,0.0,0.0,0.0,0.0,0.0,,1.24,1.24,1.24,,,,,0.67,2.15,3.2,0.0,68.77,7.63,1.81,0.0,,0.0,0.0,0.0,,1.27,1.27,1.27,,,,,0.71,2.56,3.61,0.0,70.97,6.98,2.68,0.0,,0.0,15,0
3245,0.35,5.58,0.4,0.0,0.49,0.66,413.77,188.68,382.42,64.23,0.94,14.89,15.89,0.35,93.71,17.3,0.28,0.0,0.0,0.0,1.2,13.44,1.37,0.01,0.47,0.73,413.26,170.59,372.07,97.1,0.91,10.15,11.15,1.2,91.04,20.99,0.89,0.0,0.0,0.0,1.03,11.95,1.0,0.01,0.64,0.87,354.46,203.19,320.34,71.55,0.91,10.6,11.6,1.03,91.38,10.64,17.95,0.0,0.0,0.0,15,0
3246,0.45,2.09,1.14,0.03,0.17,0.81,929.92,40.25,212.23,196.51,0.71,3.33,4.67,9.15,78.57,13.1,0.78,42.52,22.16,106.32,0.48,2.51,1.15,0.01,0.16,0.58,868.95,53.09,268.37,152.05,0.75,3.94,5.23,11.13,80.87,9.28,0.65,37.83,25.43,163.53,0.12,0.53,0.24,0.0,0.14,0.53,744.57,36.23,178.71,100.87,0.72,3.29,4.55,14.1,72.19,10.9,0.67,41.24,20.47,145.1,15,0
3247,59.47,178.84,176.83,0.66,1.44,1.61,1085.22,181.05,230.83,38.13,0.67,2.01,3.01,62.21,66.75,98.04,0.51,0.0,8.14,-4.04,0.95,3.07,7.02,1.78,3.14,3.29,2697.22,220.74,230.29,36.8,0.49,1.59,3.24,2.49,69.16,25.52,0.81,21.08,11.39,-3.16,0.87,1.33,11.09,0.03,1.12,1.38,4628.79,192.82,379.87,297.5,0.34,0.52,1.52,3.03,34.26,81.15,1.09,22.08,27.51,-5.47,15,0
3248,-10.69,-13.03,-39.3,0.16,0.61,2.41,1341.99,75.09,33.4,307.25,0.15,0.18,1.22,6.89,17.97,6.87,1.2,10.58,64.64,-275.85,0.37,0.43,1.77,0.28,0.35,3.03,1758.87,12.98,48.44,477.63,0.12,0.14,1.18,16.34,15.06,94.97,1.25,7.87,77.18,287.65,-16.3,-21.21,-68.0,0.08,0.15,1.9,1518.16,14.05,82.98,339.01,0.2,0.26,1.3,3.67,20.34,-22.75,1.11,13.42,57.79,-121.69,15,0
3249,23.92,52.08,178.07,0.3,0.46,0.65,2717.3,220.81,1449.06,280.86,0.54,1.18,2.18,35.62,54.07,65.98,0.71,0.0,87.1,-30.75,1.45,1.75,11.49,1.66,1.84,2.38,2892.49,91.57,502.06,274.92,0.18,0.21,1.21,10.35,17.55,138.58,1.42,0.0,70.79,-20.68,0.5,0.53,1.64,6.66,7.21,8.28,1179.57,31.88,56.95,60.53,0.05,0.05,1.05,0.5,4.88,632.31,1.6,0.0,0.0,0.0,15,0
3250,6.66,24.09,5.2,0.69,1.2,1.2,284.99,104.02,203.02,,0.72,2.61,3.61,15.67,72.33,31.22,2.45,0.0,7.03,44.25,18.28,29.99,81.87,2.32,2.38,2.38,1629.9,39.17,626.48,,0.39,0.64,1.64,18.67,39.03,75.29,9.57,0.0,1.72,13.52,9.93,12.0,48.11,5.01,5.88,5.88,1762.89,257.2,296.38,0.0,0.17,0.21,1.21,9.93,17.19,101.99,,0.0,0.0,0.0,15,0
3251,-1.36,-14.3,-0.49,0.93,1.12,1.19,131.48,9.96,14.48,3.39,0.91,9.53,10.53,8.82,90.5,20.48,1.18,47.6,3.66,23.32,1.57,10.51,0.35,1.03,1.36,1.36,81.7,10.93,15.48,,0.85,5.7,6.7,15.94,85.07,38.5,1.41,36.12,3.23,21.59,-2.57,-14.6,-0.35,0.59,1.05,1.05,48.89,12.82,5.43,,0.82,4.68,5.68,18.51,82.38,27.52,1.13,47.29,1.95,20.94,15,0
3252,-0.02,-1.36,,1.01,1.01,1.01,,,,,0.99,81.84,82.84,-0.02,98.79,-0.02,,0.0,,0.0,22.19,25.56,75.58,8.17,8.82,8.82,1239.93,90.0,139.0,,0.13,0.15,1.15,22.19,13.18,168.38,,0.0,0.0,0.0,3.9,4.31,,12.55,12.86,12.86,3733.73,90.0,287.1,,9.61,10.63,1.11,3.9,9.61,40.57,,0.0,0.0,0.0,15,0
3253,-5.69,-7.16,-23.04,1.54,2.99,2.99,1478.43,44.65,30.9,0.0,0.07,0.09,1.26,4.62,20.5,15.53,0.91,0.0,41.77,100.01,-5.21,-6.56,,1.02,4.53,4.53,1688.87,152.8,43.61,,0.07,0.09,1.26,4.04,6.98,13.5,0.95,0.0,30.25,76.2,2.65,3.22,9.24,0.5,1.13,1.13,1269.56,120.6,191.0,,17.67,21.46,1.21,11.65,17.67,47.9,1.02,0.0,31.39,44.91,15,0
3254,-6.32,-15.1,-18.57,1.0,1.72,1.72,1071.76,444.12,614.52,,0.58,1.39,2.39,-6.32,58.13,-10.88,,0.0,0.0,0.0,-32.49,1194.36,-101.64,0.91,0.97,0.97,1138.79,71.73,1156.91,,1.03,-37.76,-36.76,-32.49,102.72,-31.63,,0.0,0.0,0.0,15.12,109.51,33.41,1.16,1.16,1.16,804.37,,685.71,,0.86,6.24,7.24,15.12,86.19,17.54,,0.0,0.0,0.0,15,0
3255,36.41,60.81,40.77,2.95,4.52,5.3,408.76,101.87,64.07,51.15,0.4,0.67,1.67,61.5,40.13,103.7,5.73,0.22,28.1,50.4,-7.49,-37.6,-34.42,0.8,1.34,2.05,1672.54,216.76,397.74,284.39,0.8,4.02,5.02,4.43,80.08,9.59,1.48,0.0,54.76,104.43,-9.87,-85.71,-55.14,0.43,1.08,2.04,2034.06,357.52,548.46,530.4,0.88,7.69,8.69,2.4,88.49,10.14,1.42,0.0,68.54,163.25,15,0
3256,-7.27,-10.83,-13.82,0.26,0.91,2.15,694.03,77.96,106.32,151.1,0.27,0.4,1.49,9.55,32.88,12.84,1.22,8.17,31.99,120.77,-1.5,-2.28,-3.1,0.29,0.9,2.14,750.09,93.46,138.35,193.64,0.29,0.44,1.52,15.55,34.03,34.96,1.31,6.18,35.14,82.96,3.3,4.61,6.12,0.27,1.11,3.19,674.99,84.97,75.45,210.74,0.21,0.29,1.4,21.87,20.77,64.77,1.48,6.02,24.7,58.63,15,0
3257,20.41,34.58,24.75,0.14,0.8,2.35,442.61,114.0,173.48,273.43,0.41,0.69,1.69,22.7,40.98,55.36,15.95,0.0,2.78,11.33,13.75,21.76,13.35,0.08,1.3,2.66,353.4,152.51,126.58,174.56,0.37,0.58,1.58,16.59,36.82,43.74,43.07,0.0,2.76,24.87,3.52,5.56,4.79,0.16,1.15,2.68,495.02,176.1,177.49,272.11,0.37,0.58,1.58,6.0,36.64,12.96,43.92,0.0,2.53,-44.74,15,0
3258,0.12,,0.39,1.1,1.51,3.91,1174.05,32.56,79.33,192.68,0.14,,,12.57,22.45,68.24,0.09,0.0,40.05,150.74,0.39,0.49,1.27,2.52,3.21,7.34,1183.09,33.77,49.03,205.25,0.12,0.16,1.25,13.99,20.19,81.06,1.26,0.45,44.18,148.88,0.26,0.35,0.98,0.62,0.97,2.69,1387.27,47.61,61.44,239.66,0.2,0.28,1.37,13.29,20.44,46.59,1.14,8.56,35.15,115.9,15,0
3259,5.1,5.95,8.22,2.51,2.97,4.94,589.1,27.81,65.62,131.16,0.13,0.16,1.17,20.54,14.41,121.7,1.97,0.0,24.93,110.81,-10.98,-12.8,-28.3,1.26,1.67,4.27,938.7,39.3,106.06,279.68,0.13,0.15,1.17,6.5,14.28,28.23,1.69,0.0,45.06,1014.29,6.12,6.94,9.13,2.2,3.06,6.27,543.67,42.59,52.74,169.38,0.11,0.12,1.13,22.67,10.92,164.6,2.3,0.0,17.99,65.1,15,0
3260,-0.1,-0.22,-0.2,1.0,1.76,1.76,434.47,324.5,424.58,,0.57,1.31,2.31,-0.1,56.73,-0.17,,0.0,0.0,0.0,1.83,9.39,9.58,0.23,0.46,0.46,1907.69,347.26,1519.39,,0.81,4.14,5.14,1.83,80.53,18.07,0.31,0.0,0.0,0.0,-2.57,-20.8,-4.13,0.31,0.76,0.76,585.63,226.04,507.75,,0.88,7.11,8.11,-2.57,87.67,13.59,0.37,0.0,0.0,0.0,15,0
3261,16.71,36.98,15.41,0.0,0.47,0.8,336.54,62.72,114.44,46.08,0.49,1.09,2.21,28.24,54.82,53.31,0.8,10.26,10.63,33.55,0.79,2.09,1.06,0.0,0.32,0.85,489.83,73.47,209.06,127.02,0.59,1.55,2.65,10.92,62.33,13.32,0.74,7.65,13.63,77.01,5.19,13.24,6.29,0.02,0.42,0.73,440.74,81.42,183.61,64.72,0.58,1.48,2.55,15.37,57.85,18.95,0.75,7.52,9.09,43.98,15,0
3262,0.04,0.04,0.16,1.51,3.05,9.12,1614.66,112.66,73.19,450.81,0.12,0.14,1.25,40.33,20.19,73.17,1.43,0.0,178.25,-1437.02,0.04,0.05,0.14,0.36,1.3,5.3,1443.81,105.82,113.21,459.22,0.15,0.19,1.26,40.34,20.43,49.29,1.42,0.0,159.85,-458.11,-0.09,-0.11,-0.31,0.89,1.29,6.11,1290.35,33.12,82.78,398.64,0.13,0.16,1.21,40.07,12.89,44.87,1.41,0.0,99.91,-3128.24,15,0
3263,-0.4,-0.42,-0.7,12.92,20.92,20.92,189.99,240.0,30.0,,0.05,0.05,1.05,-0.4,4.78,-8.4,,0.0,0.0,0.0,15.69,45.42,16.01,0.81,1.53,1.53,371.48,172.94,240.49,,0.65,1.9,2.9,15.69,65.46,23.97,,0.0,0.0,0.0,15.46,45.95,16.57,1.21,1.51,1.51,390.04,76.47,255.93,0.0,0.66,1.97,2.97,15.46,66.35,23.31,,0.0,0.0,0.0,15,0
3264,-18.56,125.74,-0.5,0.13,0.75,0.87,9.89,6.92,11.2,1.36,1.15,-7.78,-6.78,-18.56,114.76,-16.17,,0.0,0.0,0.0,55.71,113.14,1.81,1.43,1.68,1.97,11.83,1.46,5.94,1.73,0.51,1.03,2.03,55.71,50.76,109.76,,0.0,0.0,0.0,-0.05,-0.72,-0.03,0.01,0.32,1.08,210.06,60.42,138.88,145.84,0.93,12.94,13.94,-0.05,92.82,-0.06,,25.97,0.0,0.0,15,0
