Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT,TYPE,RUN
3586,-57.34,-4559.32,-26.2,0.07,0.63,0.86,166.35,90.12,159.1,37.1,0.99,78.52,79.52,-25.17,98.74,-56.59,0.08,0.0,14.7,-126.78,-44.23,106.68,-7.94,0.0,0.48,0.65,65.31,43.86,78.71,15.09,141.46,-341.2,-2.41,38.24,141.46,-21.81,-4.96,19.59,10.4,-179.51,6.93,-49.86,1.02,0.03,0.88,0.88,53.73,51.31,60.52,,113.89,-819.7,-7.2,40.84,113.89,6.08,,0.0,3.66,65.51,0,TEST,3.0
3587,-3.45,-9.82,-6.54,0.08,1.01,1.01,690.41,272.32,313.56,,0.65,1.85,2.85,1.49,64.88,23.44,1.06,0.32,9.36,21.17,1.23,3.86,2.36,0.0,0.62,0.62,699.81,135.83,236.81,,0.68,2.15,3.15,6.36,68.21,32.81,0.83,0.43,9.87,21.07,-11.22,-45.94,-20.15,0.0,0.8,0.8,653.73,233.86,262.15,,0.76,3.09,4.09,-5.31,75.57,22.09,0.84,11.87,10.62,24.31,0,TEST,3.0
3588,12.17,15.77,7.04,0.91,4.1,4.15,210.44,129.55,41.13,2.15,0.23,0.3,1.3,70.1,22.82,65.29,4.48,0.0,33.49,73.67,8.66,11.53,,2.31,3.77,3.79,174.73,52.2,36.64,0.88,0.25,0.33,1.33,68.81,24.88,45.71,3.99,0.0,20.85,57.03,17.93,24.15,9.35,1.99,3.57,3.63,189.81,66.75,43.03,2.28,0.26,0.35,1.35,71.41,25.73,78.07,4.54,0.0,20.15,47.99,0,TEST,3.0
3589,1.2,3.54,0.6,0.62,1.5,1.5,183.5,105.82,119.51,,0.66,1.95,2.95,63.46,66.13,1.81,,0.0,31.39,94.87,6.89,37.77,3.39,1.13,1.16,1.22,179.06,4.43,144.64,8.89,0.82,4.48,5.48,7.29,81.77,8.42,,0.0,0.14,6.91,3.01,35.91,1.15,0.87,1.08,1.08,139.37,25.43,126.24,,0.92,10.92,11.92,5.63,91.61,3.38,6.41,0.0,0.75,32.21,0,TEST,3.0
3590,18.89,69.37,19.72,0.07,0.83,0.83,346.51,210.11,172.8,,0.73,2.67,3.67,18.89,72.77,32.98,0.69,26.78,0.0,0.0,13.7,40.4,,0.05,1.2,1.2,370.41,278.11,183.83,0.0,0.66,1.95,2.95,13.7,66.1,33.19,1.62,15.87,0.0,0.0,14.63,27.67,,0.39,1.18,1.18,371.29,137.71,47.28,,0.47,0.89,1.89,14.63,47.13,59.72,1.2,34.25,0.0,0.0,0,TEST,3.0
3591,2.07,2.55,4.05,0.42,0.88,5.47,714.15,30.35,39.42,337.63,0.17,0.21,1.24,23.47,19.1,68.02,1.94,4.7,42.0,99.63,1.71,2.28,3.21,0.57,1.24,4.68,684.43,47.26,30.42,280.77,0.23,0.31,1.33,21.51,23.45,38.7,1.94,13.21,25.6,71.71,-6.59,-8.84,-13.99,0.04,1.07,4.92,773.15,68.44,40.92,330.06,0.24,0.33,1.34,13.38,24.31,3.83,1.89,11.24,30.16,141.84,0,TEST,3.0
3592,10.42,-23.6,5.24,0.01,0.6,0.6,183.12,153.43,261.05,,1.44,-3.27,-2.27,10.42,144.14,10.07,-3.6,0.0,0.0,0.0,2.88,40.28,1.92,0.23,1.03,1.03,241.86,177.76,222.08,,92.84,1296.78,13.97,2.88,92.84,4.62,1.79,0.0,0.0,0.0,-29.3,479.62,-23.46,-0.3,0.82,0.82,291.42,342.73,305.82,,106.11,-1736.72,-16.37,-20.67,106.11,-22.09,-0.49,0.0,6.92,-346.6,0,TEST,3.0
3593,10.02,95.45,4.82,0.06,0.37,0.67,175.17,47.1,154.54,47.04,0.89,8.52,9.52,21.75,89.5,13.87,0.26,0.0,5.64,43.48,5.3,36.59,2.67,0.16,0.5,0.79,183.68,51.83,154.39,45.53,0.86,5.9,6.9,16.51,85.52,9.45,0.45,0.0,4.06,38.72,3.62,19.39,1.61,0.14,0.54,0.82,162.07,51.79,129.62,36.16,0.81,4.36,5.36,15.34,81.34,7.78,0.56,0.0,3.7,44.08,0,TEST,3.0
3594,16.44,80.57,8.95,0.06,0.79,0.79,198.06,113.47,155.4,,79.59,389.98,4.9,19.24,79.59,20.66,,0.0,1.52,11.58,8.93,9.83,1.54,2.28,12.85,12.85,62.92,51.19,4.84,,0.09,0.1,1.1,36.83,9.13,97.87,,0.0,4.82,64.53,-4.32,-11.21,-1.6,0.12,1.63,1.63,134.94,124.01,75.98,,0.61,1.6,2.6,3.58,61.48,-7.02,,4.44,2.93,135.0,0,TEST,3.0
3595,0.61,9.11,1.5,0.05,0.19,0.19,896.81,47.6,330.55,,0.93,13.96,14.96,0.61,93.31,4.23,0.68,0.0,0.0,0.0,-0.05,-1.36,,0.06,0.36,0.36,1298.72,192.55,637.17,,0.96,25.92,26.92,-0.05,96.29,22.04,0.62,0.0,0.0,0.0,-3.95,345.14,,0.34,0.71,0.71,595.7,186.55,516.4,,1.01,-88.46,-87.46,5.66,101.14,14.54,0.32,0.0,12.02,124.19,0,TEST,3.0
3596,0.0,0.01,0.0,0.21,2.04,3.59,382.11,94.36,28.68,80.76,0.31,0.46,1.48,15.54,32.22,30.12,1.79,5.99,16.31,66.52,0.15,0.23,0.2,0.12,1.21,2.52,476.88,124.78,52.14,150.94,0.34,0.53,1.54,12.06,34.4,20.93,1.95,13.32,11.0,42.45,0.38,0.48,0.26,0.19,2.41,2.86,251.62,105.89,29.31,21.37,0.2,0.25,1.26,13.02,19.62,44.47,1.79,7.36,6.34,41.37,0,TEST,3.0
3597,5.15,6.2,4.94,2.35,3.34,6.6,348.87,32.34,32.66,108.05,0.16,0.19,1.2,15.5,16.89,142.03,2.43,2.08,9.92,62.28,2.21,2.92,1.99,1.47,2.61,4.4,328.1,45.35,38.1,71.24,0.24,0.32,1.32,13.57,24.36,73.33,1.9,9.13,10.24,249.33,3.72,4.32,3.53,2.02,2.37,8.67,345.27,7.35,20.88,131.6,0.14,0.16,1.16,15.84,13.85,139.41,1.99,5.46,11.5,64.76,0,TEST,3.0
3598,1.04,11.38,0.5,0.02,0.73,1.14,174.22,89.63,90.55,51.61,0.91,9.97,10.97,1.04,90.89,7.51,1.62,20.25,0.0,0.0,3.78,32.27,,0.21,0.54,1.03,216.55,59.06,78.37,89.9,0.88,7.53,8.53,3.78,88.28,10.99,1.25,48.62,0.0,0.0,1.21,19.42,,0.43,0.64,0.94,221.37,44.48,173.92,61.51,0.94,15.04,16.04,21.25,93.76,4.13,0.56,13.97,8.99,52.97,0,TEST,3.0
3599,4.81,7.78,7.71,0.44,0.85,1.96,584.21,41.24,41.94,111.99,0.32,0.52,1.62,22.02,38.27,47.99,1.17,24.05,27.62,86.22,4.18,6.29,5.87,0.85,1.86,3.83,511.18,41.52,27.62,80.44,0.29,0.43,1.5,22.04,28.79,42.01,1.25,21.42,17.91,59.53,4.11,6.58,6.69,0.31,1.05,2.22,593.25,55.57,60.06,88.13,0.29,0.47,1.6,20.09,29.03,43.07,1.08,16.85,18.31,58.36,0,TEST,3.0
3600,4.64,5.89,5.98,0.13,2.36,5.07,469.48,96.32,41.38,118.64,0.18,0.23,1.27,23.46,21.18,83.31,1.67,4.38,24.28,78.93,0.62,0.81,1.17,-0.33,0.56,4.86,686.46,58.42,57.12,282.99,0.21,0.27,1.31,20.96,20.77,51.83,1.66,3.87,27.76,68.31,1.44,1.83,1.65,0.63,3.67,7.54,416.55,74.34,24.46,94.58,0.19,0.24,1.27,23.2,18.89,59.8,1.65,0.0,18.24,69.61,0,TEST,3.0
